회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,구매매장,간식,건강,과실,기타,반찬,생활용품,서류,수산,양념/가루,음료,잡곡,주곡,주류,채소,축산물,주말,평일,1회당평균구매물품수
575530752,1,0,41.0,0,0,0,40대,30630.0,수지구,성복동,0,2,1,매장B,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0
575582720,1,0,45.0,0,0,0,40대,15315.0,수지구,풍덕천동,0,3,1,매장C,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.3333333333333333
575874112,1,1,44.0,0,1,0,40대,554126.0,수지구,신봉동,0,50,1,매장D,0.19047619047619047,0.0,0.011904761904761904,0.011904761904761904,0.047619047619047616,0.011904761904761904,0.03571428571428571,0.011904761904761904,0.023809523809523808,0.0,0.0,0.0,0.0,0.5238095238095238,0.13095238095238096,0.27999999999999997,0.72,1.68
575937216,1,0,42.0,0,0,0,40대,68727.0,기타,기타,0,3,1,매장B,0.25,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.4166666666666667,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.6666666666666666,0.3333333333333333,4.0
575939072,1,1,50.0,0,0,0,50대,64707.0,수지구,동천동,0,1,1,매장A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
575976192,1,0,46.0,0,0,0,40대,161960.0,분당구,정자동,0,2,1,매장A,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0,1.0,4.5
576033728,1,0,48.0,0,0,0,40대,297818.0,수지구,풍덕천동,0,13,1,매장C,0.05,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.65,0.5384615384615385,0.46153846153846156,1.5384615384615383
576167360,1,0,41.0,0,0,0,40대,68154.0,분당구,중동,0,4,1,매장B,0.3,0.0,0.0,0.0,0.2,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,2.5
576339968,1,0,51.0,0,0,0,50대,224178.0,수지구,풍덕천동,0,28,1,매장C,0.05194805194805195,0.0,0.012987012987012988,0.0,0.2857142857142857,0.0,0.025974025974025976,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.4935064935064935,0.1038961038961039,0.2857142857142857,0.7142857142857142,1.375
576388224,1,0,43.0,1,0,0,40대,429307.0,수지구,풍덕천동,0,17,1,매장B,0.15217391304347827,0.0,0.0,0.0,0.06521739130434782,0.10869565217391304,0.021739130434782608,0.13043478260869565,0.10869565217391304,0.06521739130434782,0.0,0.0,0.0,0.15217391304347827,0.1956521739130435,0.4117647058823529,0.5882352941176471,2.7058823529411766
