,회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,1회당평균구매물품수
3379,1489744384,1,0,33.0,0,0,0,30대,60208.0,수지구,동천동,0,5,0,2.0
3380,1489746240,1,1,35.0,0,0,0,30대,136214.0,수지구,풍덕천동,0,22,0,1.5
3381,1490121152,1,0,67.0,1,0,0,60대,495090.0,수지구,성복동,1,10,1,3.4
3382,1490169408,1,0,36.0,0,0,0,30대,4020.0,기흥구,보정동,0,1,0,1.0
3383,1490230656,1,0,35.0,0,0,0,30대,163013.0,기타,기타,0,14,0,1.2142857142857142
3384,1490386560,1,1,49.0,0,0,0,40대,18858.0,기타,기타,0,3,1,1.0
3385,1490596288,1,0,63.0,0,0,0,60대,81648.0,수지구,풍덕천동,1,12,1,1.5833333333333333
3386,1490637120,1,0,37.0,0,0,0,30대,152003.0,수지구,풍덕천동,0,8,0,2.0
3387,1490878400,1,0,64.0,0,0,0,60대,80788.0,수지구,상현동,1,8,1,1.5
3388,1490954496,1,0,37.0,0,0,0,30대,33693.0,기흥구,구갈동,0,3,0,1.3333333333333333
3389,1490965632,1,0,41.0,0,0,0,40대,130429.0,기타,기타,0,17,1,1.2352941176470589
3390,1490976768,1,0,37.0,0,1,0,30대,6700.0,기흥구,영덕동,0,1,0,1.0
3391,1491669056,1,0,71.0,0,0,0,70대이상,133435.0,수지구,풍덕천동,1,8,0,1.375
3392,149168576,1,0,62.0,0,0,0,60대,44032.0,서울 강남구,기타,1,1,1,5.0
3393,1491899200,1,0,52.0,0,0,0,50대,31588.0,수지구,성복동,0,1,1,1.0
3394,1492335360,1,0,36.0,0,0,0,30대,83181.0,수지구,풍덕천동,0,7,0,1.8571428571428572
3395,149239104,1,0,58.0,0,0,0,50대,30057.0,분당구,서현동,0,2,1,1.0
3396,1492439296,1,0,36.0,0,0,0,30대,34268.0,수지구,풍덕천동,0,3,0,2.0
3397,1492539520,1,0,43.0,0,0,0,40대,411195.0,수지구,풍덕천동,0,12,1,3.025
3398,1492541376,1,0,33.0,0,0,0,30대,92370.0,수지구,동천동,0,4,0,3.75
3399,1492578496,1,0,38.0,0,0,0,30대,1798976.0,분당구,판교동,0,28,0,6.0
3400,1492678720,1,0,36.0,0,0,0,30대,63271.0,수지구,풍덕천동,0,4,0,1.75
3401,149270656,1,0,62.0,1,0,0,60대,1174969.0,수지구,성복동,1,17,1,5.294117647058823
3402,1493088896,1,0,63.0,0,0,0,60대,420596.0,수지구,상현동,1,3,1,1.3333333333333333
3403,1493139008,1,0,38.0,0,0,0,30대,274144.0,분당구,정자동,0,25,0,1.3
3404,1493367296,1,0,39.0,0,0,0,30대,143676.0,분당구,금곡동,0,6,0,1.8333333333333333
3405,1493402560,1,0,32.0,0,0,0,30대,277207.0,중원구,여수동,0,12,0,2.0833333333333335
3406,1493450816,1,0,49.0,0,0,0,40대,1914.0,수원 영통구,기타,0,1,1,1.0
3407,1493526912,1,0,62.0,0,0,0,60대,723730.0,수지구,풍덕천동,1,44,1,1.8181818181818181
3408,149359744,1,0,54.0,0,0,0,50대,195749.0,수지구,풍덕천동,0,3,1,3.75
3409,1493840576,1,0,40.0,0,0,0,40대,161482.0,수지구,상현동,0,9,1,2.0
3410,1493912960,1,0,45.0,0,0,0,40대,39246.0,수지구,상현동,0,2,1,2.0
